Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,6500,7000,7000,07-Sep-25
2,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,6500,7000,7000,08-Sep-25
3,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,6500,7000,7000,14-Sep-25
4,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,6500,7000,7000,15-Sep-25
5,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,7000,8000,8000,02-Sep-25
6,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,7000,8000,8000,20-Sep-25
7,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,7400,8000,8000,06-Sep-25
8,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,7500,8000,8000,03-Sep-25
9,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,7500,8000,8000,05-Sep-25
10,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,8000,9000,9000,13-Sep-25
11,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,8000,10000,10000,24-Sep-25
12,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,8500,9000,9000,04-Sep-25
13,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,9000,10000,10000,09-Sep-25
14,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,9400,10000,10000,25-Sep-25
15,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,10000,10000,10000,26-Sep-25
16,Salem,Ammapet(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,10000,12000,12000,10-Sep-25
